2022-12-24;Salade de crevettes
2022-12-24;Poulet aux oranges
2022-12-24;puree de marrons
2022-12-24;plateau de fromage
2022-12-24;Buche glacee
2022-12-24;Tiramisu
2022-11-23;Soupe aux epinards
2022-11-23;pizza aux 4 fromages
2022-11-23;salade verte
2022-11-23;Tiramisu
2022-11-23;galette sucree
2022-11-14;Anchoiade
2022-11-14;beignets de crevettes
2022-11-14;courgettes au four
2022-11-14;fromages italiens
2022-11-14;fondue au chocolat
2022-10-24;Salade verte
2022-10-24;roti de boeuf
2022-10-24;haricots verts
2022-10-24;Tiramisu 
2022-06-23;beignets de crevettes
2022-06-23;rascasse a la rouille
2022-06-23;fruits de saison
2022-06-14;roti de veau
2022-06-14;profiteroles aux 3 chocolats
2022-11-23;pizza
2022-11-23;fruits de saison
2022-12-20;pamplemousse
2022-12-20;steak
2022-12-20;salade verte
2022-10-21;avocat
2022-10-21;poulet
2022-10-21;glace
2022-09-14;soupe de legumes glacee
2022-09-14;steak tartare
2022-09-14;fruit de saison
2022-07-13;tomates farcies
2022-07-13;salade verte
2022-07-13;fromage de haute montagne
2022-07-01;escargots
2022-07-01;cake aux olives
2022-07-01;glace 
2022-06-14;salade verte
2022-06-14;skeak frites
2022-06-14;fruits de saison
